geometry,addr_country,amenity,emergency,healthcare,name,name_etymology_wikidata,healthcare_speciality,addr_city,addr_street,addr_district,addr_full,addr_postcode,addr_state,source,addr_housenumber,phone,website,wikidata,operator,name_en,email,internet_access,opening_hours,survey_date,description,operator_type,addr_subdistrict,contact_phone,time,services,contact_website,building,level,Latitude,Longitude,Region
POINT (79.082105 21.131042),IN,hospital,,hospital,Shri Krishna Hrudayalaya and Critical Care Centre,,,Nagpur,"Tikekar Road, Congress Nagar Square, Opp. New Eng",Nagpur,"176, Tikekar Road, Congress Nagar Square Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1310422,79.0821048,Central
POINT (79.083023 21.132525),IN,hospital,,hospital,Vasan Eye Care,,,,"Humpyard Road,, Congress Nagar, T- Point, Dhantol*",,,,,,,,,,,,,,,,,,,,,,,,,21.132525000000005,79.0830226,Central
POINT (79.08535 21.140624),IN,hospital,,hospital,Baheti (Dr) Mukund,,,,"Main Road, Balraj Marg, Near Lokmat Square, Near *",,,,,,,,,,,,,,,,,,,,,,,,,21.140624400000004,79.0853499,Central
POINT (79.085284 21.141176),IN,hospital,,hospital,"Dr B K Murali, Hope Hospitals",,,Nagpur,"Hope Hospitals,, 51, Dhantoli",,,,,,,,,,,,,,,,,,,,,,,,,21.1411757,79.0852841,Central
POINT (79.085732 21.14125),IN,hospital,,hospital,Surelife Hospital,,,,"5th Floor, Dhanashree Towers, Near Hotel Hardeo,",,,,,,,,,,,,,,,,,,,,,,,,,21.141249500000004,79.0857315,Central
POINT (79.096802 21.131174),IN,hospital,,,Cph Centre Point Hospital and Medical Research Institute Pvt. Ltd.,,,Nagpur,"Shriram Dharamshalal, Ajni Road, Untkhana",Nagpur,Medical Square,440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.131174500000004,79.0968017,Central
POINT (79.11595 21.14911),,hospital,yes,hospital,Indira Gandhi Medical College,,,,"Ca Road, C A Road, Central Avenue, Central Avenue",,,,,,,+91 712 272 6126,,,,,,,,,,,,,,,,,,21.149109900000003,79.1159505,Central
POINT (79.141304 21.14871),,hospital,,hospital,Shri Radhakrishna Hospital and Research Institute,,,Nagpur,"Wardhaman Nagar East,",Nagpur,Central Avenue East Wardhamannagar,440008.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.148710399999995,79.1413039,East
POINT (79.064192 21.170362),,hospital,,,Central Govt Heath Scheme(CGHS) Clinic,,,Nagpur,,,,,,,,,,,,,,,,,,,,,,,,,,21.1703616,79.064192,Central
POINT (79.083588 21.169101),,hospital,,,Suraj Eye Institute Om Drishti Trust,,,Nagpur,"Plot No 559, Suraj Eye Institute, New Colony",,,,,,,,,Q30282227,,,,,,,,,,,,,,,,21.169100699999998,79.0835882,Central
POINT (79.083511 21.157273),,hospital,,,Dr S P Naidu,,,Nagpur,"Mohan Nagar, Near Patny Automobiles, Kamptee Road",,,,,,,,,,,,,,,,,,,,,,,,,21.1572734,79.083511,Central
POINT (79.064823 21.122406),,hospital,,hospital,Sanjeevani Orthopaedic And Paediatric Ho,,,Nagpur,"Central Avenue Laxmi Nagar, V-2, Near Aath Rasta",,,,,,,,,,,,,,,,,,,,,,,,,21.122406500000004,79.0648229,Central
POINT (79.103572 21.153088),,hospital,,hospital,Daga Hospital,,,Nagpur,Gandhibagh,,,440018.0,,,,,,,,,,,,,,,,,,,,,,21.1530884,79.1035724,Central
POINT (79.078388 21.132718),IN,hospital,,hospital,Spandan Heart Institute & Research Centre,,,Nagpur,"Plot No. 31, Off Chitale Marg, Behind Hitwad Press, Dhantoli",,,440012.0,,,,0712 244 3333,www.spandanheart.com,,,,,,,,,,,,,,,,,21.1327178,79.0783876,Central
POINT (79.078781 21.135184),IN,hospital,,hospital,Cancer Care Clinic & Hospital,,,Nagpur,"Cancer Care Clinic & Hospital 5th Floor Vasanst Sheela Tower, Lokmat Square, Dhantoli",,,,,,,0712 243 0465,cancercarenagpur.com,,,,,,,,,,,,,,,,,21.1351842,79.0787811,Central
POINT (79.137742 21.147558),,hospital,,hospital,Dr. Somani Accident Hospital,,,Nagpur,"Vaishno Devi Square, Hiwari Nagar Wardhaman Nagar",,,440008.0,,,,,,,,,,,,,,,,,,,,,,21.1475579,79.1377417,East
POINT (79.138353 21.147648),,hospital,,hospital,East End Hospital,,,Nagpur,Central Avenue Padole Nagar,,,440008.0,,,,0712 273 2332,,,,,,,,,,,,,,,,,,21.147648000000004,79.1383532,East
POINT (79.103746 21.141777),,hospital,,hospital,Shri Ram Jeevan Chaudhari Memorial Hospital & Research Center,,,Nagpur,"New Shukrawari Road Ramwadi, Mangalwari, Mahal",,,440002.0,,,,0712 695 5045,,,,,,,,,,,,,,,,,,21.1417766,79.1037462,Central
POINT (79.070536 21.115441),,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1154411,79.0705365,Central
POINT (79.05586 21.147808),IN,hospital,,,Sengupta Hospital and Research Institute,,,Nagpur,Ravinagar,Nagpur,Ravi Nagar Square Amaravati Road,440033.0,Maharashtra,OpenGovernmentData,,+91 712 2532697,https://senguptahospitals.com/,,,,,,,,,,,,,,,,,21.1478084,79.0558595,Central
POINT (79.056034 21.146463),IN,hospital,,,Dr. Dande Hospital,,,Nagpur,"Ram Nagar Square, Ram Nagar",Nagpur,"69 A Hill Road Ramnagar Near Ravi Nagar Sq, Nagpur",440010.0,Maharashtra,OpenGovernmentData,,+91 712 2536590,,,,,,,,,,,,,,,,,,21.1464626,79.0560338,Central
POINT (79.0638 21.14615),IN,hospital,,hospital,Paldiwal Hospital And Polyclinic,,,Nagpur,"Opposite R T O Office, Amravati Road, Amravati Road Gorepeth",,,440010.0,,,,+91 712 2526284,https://pulseimaging.in/,,,,,,,,,,,,,,,,,21.14615,79.0637996,Central
POINT (79.082091 21.145158),IN,hospital,,hospital,Mangala Ketkar's,,,Nagpur,Sitabuildi,,,440012.0,,,,,,,,,,,,,,,,,,,,,,21.145158299999995,79.0820907,Central
POINT (79.083334 21.144465),IN,hospital,,hospital,Bhiwapurkar Eye Hospital,,,,Sitabuildi,,,,,,,,,,,,,,,,,,,,,,,,,21.1444649,79.0833343,Central
POINT (79.08426 21.141805),IN,hospital,,hospital,suretech hospital,,,Nagpur,Sitabuldi,,,440012.0,,,,+91 712 6612999,,,,,,,,,,,,,,,,,,21.1418047,79.0842602,Central
POINT (79.084578 21.142435),IN,hospital,,hospital,Adil Homeo Heart Care Centre,,,,Sitabuldi,,,440012.0,,,,+91 712 2532008,,,,,,,,,,,,,,,,,,21.1424351,79.0845779,Central
POINT (79.102652 21.150888),,hospital,,hospital,VINAYAK NETRALAYA,,,Nagpur,"93/94, Gandhibagh",,,,,,,,,,,,,,,,,,,,,,,,,21.1508876,79.1026519,Central
POINT (79.108451 21.149624),,hospital,,hospital,Puniyani Hospital for Child and Women Care,,,Nagpur,Mangalwari,,,,,,,,,,,,,,,,,,,,,,,,,21.1496244,79.1084506,Central
POINT (79.103767 21.152071),,hospital,,hospital,Sahu Hospital,,,Nagpur,Gandhibagh,,,440018.0,,,,,,,,,,,,,,,,,,,,,,21.1520709,79.1037674,Central
POINT (79.112864 21.149533),,hospital,,hospital,Chandak Critical Care Hospital & ICCU,,,Nagpur,"Darodkar Square Central Avenue, Hansapuri,",,,440002.0,,,,,,,,,,,,,,,,,,,,,,21.1495333,79.1128642,Central
POINT (79.116845 21.148644),,hospital,,hospital,Ace Womens' Hospital,,,Nagpur,"Umiya Tower, Near Chandrashekhar Ashad Square, Central Avenue Road",,,440018.0,,,,+91 712 2775417,,,,,,,,,,,,,,,,,,21.1486438,79.1168452,Central
POINT (79.121491 21.147352),,hospital,,hospital,Dr. Dalvi Memorial Hospital and Research Centre,,,Nagpur,Bagadganj,Nagpur,"Telephone Exchange Chowk, Central Avenue,Garaoba Maidan",440008.0,Maharashtra,OpenGovernmentData,,+91 712 2766414,https://dalvihospital.org/,,,,,,,,,,,,,,,,,21.1473515,79.1214913,Central
POINT (79.139025 21.147211),,hospital,,hospital,Arjun Hospital,,,,"Deshpande Layout 963, Padole Nagar,",,,440008.0,,,,,,,,,,,,,,,,,,,,,,21.1472112,79.1390246,East
POINT (79.134892 21.148267),,hospital,,hospital,Shyam Medicals,,,Nagpur,"Wardhman Nagar Square, Wardhaman Nagar, Wardhaman Nagar Central Avenue, Wardhaman Nagar",,,440008.0,,,,+91 712 2768084,,,,,,,,,,,,,,,,,,21.1482671,79.1348921,East
POINT (79.132986 21.145544),,hospital,,hospital,Sawarkar Hospital,,,Nagpur,"Garoba Maidan, Shashtri Nagar",,,440008.0,,,,,,,,,,,,,,,,,,,,,,21.1455439,79.1329861,East
POINT (79.144408 21.147743),,hospital,,hospital,East End Hospital,,,Nagpur,Padole Nagar,Nagpur,"1208/737, Deshpande Lay Out, Central Avenue",440008.0,Maharashtra,OpenGovernmentData,,+91 712 2736294,,,,,,,,,,,,,,,,,,21.147742900000004,79.1444081,East
POINT (79.077001 21.091721),,hospital,,,"Sanjeevani Hospital, Nagpur",,,,"5/6, Beltarodi Road, Manish Nagar",Nagpur,V-2 Laxmi Nagar Aath Rastha Chowk,440015.0,Maharashtra,OpenGovernmentData,,+91 9503700030,,,,,,,,,,,,,,,,,,21.0917212,79.07700140000001,South
POINT (79.066927 21.100257),,hospital,yes,,Roy Nursing Home,,,,"1, National Highway 7, Jaiprakash Nagar",,,,,,,+91 712 2290888,,,,,,,,,,,,,,,,,,21.1002572,79.0669266,South
POINT (79.072111 21.114548),,hospital,yes,,Dharmadhikari Hospital,,,Nagpur,"Plot No 77, Wardha Road, Hindustan Colony, Wardha Road",,,440015.0,,,,+91 712 2222951,,,,,,,,,,,,,,,,,,21.1145482,79.0721111,Central
POINT (79.068989 21.111351),,hospital,,,Mahatma Eye Bank and Hospital,,,Nagpur,"Ring Road, Sawarkar Nagar, Khamla",,,440015.0,,,,,,,,,,,,,,,,,,,,,,21.1113508,79.0689893,South
POINT (79.078126 21.135569),IN,hospital,,hospital,Galaxy Vidarbha Diagnostics Pvt. Ltd.,,,Nagpur,"12, Milestone Building, Near Lokmat Square Ramdaspeth,",,,411010.0,,,,+91 712 245 2570,http://galaxyvidarbhadiagnostic.com/,,,,,,,,,,,,,,,,,21.1355692,79.0781259,Central
POINT (79.077138 21.134988),IN,hospital,,hospital,Anjani Eye Hospital,,,,Central Bazar Rd Nagpur,Nagpur,"No. 20, Farmland,Near Lokmat Square,Central Bazar Road,New Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,+91 712 2425869,,,,,,,,,,,,,,,,,,21.1349883,79.0771381,Central
POINT (79.07645 21.134863),IN,hospital,,hospital,Dr Sushil Rathi (Anika Clinic),,,Nagpur,"Ramdaspeth, Opposite Centra Point Hotel, Ramdaspeth",,,440012.0,,,,+91 9823363768,,,,,,,,,,,,,,,,,,21.1348631,79.0764497,Central
POINT (79.07695 21.134397),IN,hospital,,hospital,Subramaniam Hospital,,,,"Midas Heights Central Bazar Road, Ramdaspeth",,,440010.0,,,,+91 712 243 5835,,,,,,,,,,,,,,,,,,21.13439659999999,79.0769499,Central
POINT (79.075585 21.134037),IN,hospital,,hospital,Ganju Haematology Clinic and Hospital,,,Nagpur,"Central Bazar Road, Near Minerva",Nagpur,"6Th Floor Midas Heights , Central Bazar Road",440002.0,Maharashtra,OpenGovernmentData,,+91 9422110765,,,,,,,,,,,,,,,,,,21.134037299999992,79.0755846,Central
POINT (79.075693 21.134567),IN,hospital,yes,hospital,"GI , Endoscopy and Liver clinic.SMP Hospital Dr Samir Patil",,,Nagpur,"2nd floor, Yugdharma Complex, Central Bazaar Road, Ramdaspeth",,,440010.0,,,,+91 712 2420653,,,,,,,,,,,,,,,,,,21.1345668,79.0756928,Central
POINT (79.07455 21.13369),IN,hospital,,hospital,Aditya Hospital Critical Care and Emergency Center,,,Nagpur,Central Bazar Road,Nagpur,"4Th Floor, Aditya Enclave, 20, Central Bazar Road, Opp Somalwar High Scohoo Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,+91 712 2449222,,,,,,,,,,,,,,,,,,21.133690500000004,79.0745505,Central
POINT (79.073388 21.133722),,hospital,,hospital,Netranjali Centre For Advanced Eye Care,,,Nagpur,"Central Bazar Road, Ramdaspeth",,,440010.0,,,,,,,,,,,,,,,,,,,,,,21.133722099999996,79.073388,Central
POINT (79.070845 21.132906),IN,hospital,,hospital,Baraskar Multispeciality Hospital and Dialysis,,,,"Central Bazar Road, Ramdaspeth",Nagpur,"276, Central Bazar Road, Beside Sneh Nursing Home, Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.132906,79.0708446,Central
POINT (79.078904 21.134181),IN,hospital,,hospital,Crescent Nursing Home and Iccu,,,Nagpur,"Near Mount Carbel School, Lokmat Square, Lokmat Square",Nagpur,"1st Lane Dhantoli, Near Lokmat Square",440012.0,Maharashtra,OpenGovernmentData,,+91 712 2421822,,,,,,,,,,,,,,,,,,21.1341811,79.078904,Central
POINT (79.071773 21.13318),IN,hospital,,hospital,KRIMS Hospital,,,Nagpur,"Central Bazar Road, Ramdaspeth",,,440010.0,,,,+91 712 2451188,,,,,,,,,,,,,,,,,,21.1331799,79.0717727,Central
POINT (79.070779 21.132877),IN,hospital,,hospital,Meditrina Institute Of Medical Sciences,,,Nagpur,"278,Central Bazar Road,Ramdaspeth",,,440010.0,,,,+91 712 253 0882,https://www.meditrinainstitute.com/,,,,,,,,,,,,,,,,,21.1328773,79.0707792,Central
POINT (79.079018 21.136345),IN,hospital,,hospital,Deshmane Hospital,,,Nagpur,"2nd Floor, Vasant Sheela Complex, Lokmat Square, Dhantoli",,,440012.0,,,,+91 712 242 8722 ‎,,,,,,,,,,,,,,,,,,21.136344599999997,79.0790181,Central
POINT (79.078416 21.133665),IN,hospital,,hospital,Nagpur Chest Center,,,,"Amarjyoti Complex, Near Lokmat Square, Dhantoli",,,440012.0,,,,+91 9561098334,,,,,,,,,,,,,,,,,,21.133665300000004,79.0784165,Central
POINT (79.079998 21.136364),IN,hospital,,hospital,Shree Child Clinic,,,Nagpur,Dhantoli,,,440012.0,,,,,,,,,,,,,,,,,,,,,,21.1363635,79.0799981,Central
POINT (79.079876 21.135998),IN,hospital,,hospital,Navjeevan Nursing Home,,,Nagpur,Dhantoli,,,,,,,,,,,,,,,,,,,,,,,,,21.135997799999995,79.0798764,Central
POINT (79.079679 21.138069),IN,hospital,,hospital,Jasleen Eye Hospital - Nagpur,,,Nagpur,"Wardha Road, Dhantoli",Nagpur,"Jasleen Bldg Wardha Road Flat No 1, Jasleen Bldg Wardha Road",440012.0,Maharashtra,OpenGovernmentData,,+91 712 242 1851,https://jasleenhospital.com/,,,,,,,,,,,,,,,,,21.1380687,79.0796792,Central
POINT (79.082299 21.134382),IN,hospital,,hospital,Pande Memorial Hospital,,,,"Pande Memorial Hospital, P R Sathe Marg, Dhantoli",Nagpur,"Near Ahilya Mandir, Behind Central Bank, Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,+91 712 243 4254,,,,,,,,,,,,,,,,,,21.13438169999999,79.0822989,Central
POINT (79.083327 21.138521),IN,hospital,,hospital,WE PLUS OPTICALS,,,,"Masrani Bhavan, Abhyankar Road,Dhantoli",,,440012.0,,,,+91 99 60 264949,http://www.weplus.in/,,,,,,,,,,,,,,,,,21.138520900000003,79.0833269,Central
POINT (79.069372 21.136838),IN,hospital,,hospital,Dr. Anand Pangarkar's Eye Hospital,,,Nagpur,"East Shankar Nagar, Shankar Nagar",,,440010.0,,,,,,,,,,,,,,,,,,,,,,21.1368385,79.0693717,Central
POINT (79.066922 21.136895),IN,hospital,,hospital,Wockhardt Super Speciality Hospital,,,Nagpur,"1648, North Ambazari Road, Shankar Nagar",,,440033.0,,,,+91 712 662 4444,https://www.wockhardthospitals.com/,,,,,,,,,,,,,,,,,21.1368952,79.0669225,Central
POINT (79.129682 21.112629),,hospital,,,Cure It Hospital Pvt.Ltd,,,Nagpur,Taj Bagh,Nagpur,,440024.0,Maharashtra,OpenGovernmentData,,+91 712 646 5102,http://www.cureithospital.com/,,,,,,,,,,,,,,,,,21.112629,79.1296817,East
POINT (79.113409 21.117889),,hospital,,hospital,Kherde Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1178889,79.1134088,South
POINT (79.106177 21.11761),,hospital,,hospital,Kamble Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1176102,79.1061774,Central
POINT (79.105156 21.122068),,hospital,,hospital,Sahu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1220676,79.1051559,Central
POINT (79.09023 21.125901),,hospital,,hospital,Health Unit Ajni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.125901,79.0902296,Central
POINT (79.103488 21.10789),,hospital,,hospital,Asha Homeopathic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1078896,79.1034883,South
POINT (79.103544 21.108114),,hospital,,hospital,Sarita Homeopathic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.108113500000005,79.1035441,South
POINT (79.104116 21.11551),,hospital,,hospital,Belsare Children's Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1155098,79.10411620000002,Central
POINT (79.103929 21.115026),,hospital,,hospital,Chikhle Multi Speciality and Cancer Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1150264,79.1039294,Central
POINT (79.103749 21.111927),,hospital,,hospital,Deerghayu Ayurved Panchakarma Chikitsalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1119271,79.1037492,South
POINT (79.104137 21.112349),,hospital,,hospital,Prasuti ani Stree Rog Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1123494,79.1041366,South
POINT (79.104522 21.115007),,hospital,,hospital,Sangam Orthopedic and General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.115006999999995,79.1045225,Central
POINT (79.10374 21.109422),,hospital,,hospital,Shambharkar Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1094225,79.1037401,South
POINT (79.103684 21.108763),,hospital,,hospital,Shree Sai Homeopathic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1087631,79.1036843,South
POINT (79.104424 21.115658),,hospital,,hospital,Singare Eye Hospital,,,,,Nagpur,"Manewada Road, Opp. Dnyaneshwar Nagar, Khankhoje Nagar, Ambika Nagar Gate, Nagpur",440024.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.115658000000003,79.1044239,Central
POINT (79.104012 21.113761),,hospital,,hospital,Vivekananda Health Care and Yoga Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1137614,79.1040123,Central
POINT (79.117587 21.124435),,hospital,,hospital,Mukherjee Multispeciality Hospital,,,,,Nagpur,"179, Ayurvedic Lay-Out, Bhande Plot Chowk, Urmer Road, Sakkardara",440022.0,Maharashtra,OpenGovernmentData,,,https://mukherjeehospital.com/,,,,,,,,,,,,,,,,,21.124434899999997,79.1175873,Central
POINT (79.07905 21.168997),,hospital,,,Prestige Hospitals Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1689967,79.0790495,Central
POINT (79.11332 21.13001),,hospital,,hospital,Kurvey Hospital,,,,,Nagpur,Sakkardara Road,440009.0,Maharashtra,OpenGovernmentData,,,,,Dr Nalini Kurve,,,,,,,,,,,,,,,21.130009699999995,79.1133196,Central
POINT (79.095702 21.129117),,hospital,,hospital,,,,,,,,,,,,,,,,AIIMS Trauma Care Centre,,,,,,,,,,,,,,21.129117399999995,79.0957023,Central
POINT (79.1215 21.149666),,hospital,,hospital,,,,,,,,,,,,,,,,New Era Hospital,,,,,,,,,,,,,,21.1496662,79.1215,Central
