geometry,amenity,name,addr_city,addr_housename,addr_postcode,phone,addr_district,addr_street,grades,website,addr_housenumber,designation,note,office,opening_hours,source,name_mr,survey_date,education,building,email,name_etymology_wikidata,architect,school,operator,operator_type,school_language,Latitude,Longitude,Region
POINT (79.099391 21.13576),school,Untkhana Marathi Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,21.1357602,79.0993906,Central
POINT (79.100306 21.133592),school,Jivan Shikshan Vidyalaya Untakhana,,,,,,,,,,,,,,,,,,,,,,,,,,21.133592499999992,79.1003059,Central
POINT (79.107246 21.116126),school,Durganagar Marathi Primary School,,,,,,,,,,,,,,,,2019-10-21,,,,,,,,,,21.116125500000003,79.107246,Central
POINT (79.107129 21.116131),school,Durganagar Hindi Primary School,,,,,,,,,,,,,,,,2019-10-21,,,,,,,,,,21.1161307,79.1071286,Central
POINT (79.107459 21.116471),school,Durganagar High School,,,,,,,,,,,,,,,,2019-10-21,,,,,,,,,,21.1164706,79.1074593,Central
POINT (79.121497 21.110341),school,Dadasaheb Thakre High School,,,,,,,,,,,,,,,,2019-10-28,,,,,,,,,,21.1103411,79.121497,South
POINT (79.121715 21.110505),school,Dadasaheb Thakre Primary School,,,,,,,,,,,,,,,,2019-10-28,,,,,,,,,,21.110504700000003,79.1217147,South
POINT (79.113665 21.09935),school,जानकीनगर मराठी प्राथमिक शाळा,,,,,,,,,,,,,,,,2019-11-12,,,,,,,,,,21.0993505,79.1136654,South
POINT (79.11352 21.106436),school,Mahalle Convent,,,,,,,,,,,,,,,,2020-08-21,,,,,,,,,,21.1064364,79.1135202,South
POINT (79.039943 21.159299),school,KV VSN Ground,,,,,,,,,,,,,,,,,school,,,,,,,,,21.1592989,79.0399431,West
POINT (79.121626 21.159105),school,Millat Urdu High School,,,,,,,,,,,,,,,,,,,,,,,,,,21.1591051,79.1216261,Central
"POLYGON ((79.107387 21.131477, 79.107172 21.13107, 79.107622 21.130853, 79.107844 21.131187, 79.107387 21.131477))",school,Prerna Convent,,,,,,,,,,,,,,,,,,,,,,,,,,21.131152039967347,79.10750238218633,Central
"POLYGON ((79.106173 21.131106, 79.10639 21.131049, 79.106189 21.130679, 79.106027 21.130758, 79.106173 21.131106))",school,Prabuddha Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,21.13090323529259,79.1061995021255,Central
"POLYGON ((79.104681 21.134249, 79.104772 21.134207, 79.105013 21.134096, 79.104891 21.133854, 79.104545 21.133995, 79.104555 21.134015, 79.10463 21.134153, 79.104681 21.134249))",school,Anand Public School,,,,,,,,,,,,,,,,,,,,,,,,,,21.134048644644874,79.10478079367552,Central
"POLYGON ((79.056764 21.106911, 79.056687 21.106404, 79.056934 21.106534, 79.057321 21.106356, 79.057449 21.106674, 79.056764 21.106911))",school,Somalwak Nikalas School,,,,,,,,,,,,,,,,,,yes,,,,,,,,21.10662837814196,79.05704447943107,South
"POLYGON ((79.057114 21.105582, 79.056567 21.105713, 79.056679 21.106124, 79.056687 21.106404, 79.056934 21.106534, 79.057321 21.106356, 79.057114 21.105582))",school,Somalwar Khamla School,,,,,,,,,,,,,,,,,,yes,,,,,,,,21.10605804568646,79.05694357792932,South
"POLYGON ((79.065968 21.11282, 79.065673 21.112527, 79.065552 21.112362, 79.065563 21.112222, 79.06571 21.112149, 79.066332 21.112042, 79.066526 21.112092, 79.066518 21.112287, 79.066163 21.112635, 79.066045 21.112745, 79.065968 21.11282))",school,Jupiter School,,,,,,,,,,,,,,,,,,yes,,,,,,,,21.112361128824013,79.06603331819787,South
"POLYGON ((79.059649 21.135375, 79.06029 21.135627, 79.06048 21.135658, 79.060773 21.135042, 79.059922 21.134732, 79.059649 21.135375))",school,Saraswati Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,21.135207266474048,79.06020340339468,Central
"POLYGON ((79.061834 21.128004, 79.062062 21.127296, 79.061459 21.127296, 79.061341 21.127879, 79.061834 21.128004))",school,Paranjape School,,,,,,,,,,,,,,,,,,yes,,,,,,,,21.12761263827888,79.06168553133716,Central
"POLYGON ((79.065588 21.119211, 79.064653 21.119174, 79.064592 21.119955, 79.065555 21.119996, 79.065588 21.119211))",school,NEERI School,,,,,,,,,,,,,,,,,,,,,,,,,,21.119586049620644,79.06509718646635,Central
"POLYGON ((79.084155 21.136101, 79.084847 21.13589, 79.084396 21.134935, 79.083989 21.13506, 79.084096 21.135225, 79.083881 21.135305, 79.084155 21.136101))",school,Deenanath School,,,,,,,,,,,,,,,,,,yes,,,,,,,,21.13554499835081,79.08433154672464,Central
"POLYGON ((79.073844 21.118797, 79.074483 21.119223, 79.074483 21.119435, 79.074483 21.119748, 79.073764 21.119958, 79.073528 21.120104, 79.073147 21.119798, 79.073844 21.118797))",school,Mt. Carmel School,Nagpur,,440015.0,0712 222 4981,,"Wardha Rd, Ajni Square, Vivekanand Nagar",,,,,,,,,,,,yes,,,,,,,,21.11949510571853,79.07387395664054,Central
"POLYGON ((79.081129 21.130551, 79.081798 21.13052, 79.082154 21.130504, 79.082656 21.13048, 79.08256 21.129723, 79.081063 21.129784, 79.081129 21.130551))",school,"New English School, Congress Nagar",,,,,,,,,,,,,,,,,,,,,,,,,,21.13013620106868,79.08185066769396,Central
"POLYGON ((79.069511 21.126928, 79.070655 21.126828, 79.0705 21.12543, 79.069366 21.125574, 79.069511 21.126928))",school,Kurve's New Model High School,,,,,,,,,,,,,,,,,,,,,,,,,,21.126190047083625,79.07001094103113,Central
"POLYGON ((79.0705 21.12543, 79.071518 21.125324, 79.07156 21.126259, 79.070966 21.126275, 79.070984 21.126826, 79.070655 21.126828, 79.0705 21.12543))",school,Mundle English High School,,,,,,,,,,,,,,,,,,,,,,,,,,21.12594800573645,79.07100589438508,Central
"POLYGON ((79.084877 21.157984, 79.085769 21.158211, 79.086742 21.158136, 79.087567 21.158048, 79.087486 21.159499, 79.08486 21.159482, 79.084877 21.157984))",school,St John's public School,,,,,,,,,,,,,,,,,,,,,,,,,,21.15880309462733,79.08619813776102,Central
"POLYGON ((79.07549 21.169228, 79.074274 21.169544, 79.072327 21.169947, 79.072462 21.170804, 79.073517 21.170628, 79.074517 21.170476, 79.075382 21.170224, 79.075896 21.170022, 79.07549 21.169228))",school,Tidke School & AG College,Nagpur,,440001.0,07103 645 302,,"Katol Rd, Sadar",,,,,,,,,,,,,,,,,,,,21.17004770387274,79.07407464315597,Central
"POLYGON ((79.081102 21.164717, 79.079858 21.163757, 79.079847 21.164697, 79.079675 21.165528, 79.079579 21.165708, 79.079428 21.166118, 79.07945 21.166259, 79.080077 21.166544, 79.080137 21.166428, 79.081102 21.164717))",school,Anjuman High School & Jr College,Nagpur,,440001.0,,,"Chindwada Rd, Mangalwari, Koradi Colony",,,,,,,,,,,,,,,,,,,,21.16520684377697,79.08018994303967,Central
"POLYGON ((79.060924 21.115088, 79.061286 21.116236, 79.061708 21.116108, 79.061425 21.114956, 79.060924 21.115088))",school,VTC Ground,,,,,,,,,,,,,,,,,,,,,,,,,,21.11558145157964,79.06133079440728,South
"POLYGON ((79.078786 21.1567, 79.07911 21.15581, 79.080556 21.155692, 79.07988 21.156833, 79.079569 21.157049, 79.078961 21.157049, 79.078852 21.157014, 79.078778 21.156949, 79.078753 21.156871, 79.078786 21.1567))",school,Bishop Cotton School,,,,+917122546595,,,1-10,http://www.bishopcottonschoolcbse.edu.in/,,,,,,,,,,,bishopcottonschoolcbse@gmail.com,,,,,,,21.15635700290505,79.07954941870311,Central
"POLYGON ((79.087393 21.123506, 79.087811 21.123353, 79.087751 21.12321, 79.087333 21.123363, 79.087393 21.123506))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,21.12335815013028,79.08757205007754,Central
"POLYGON ((79.088008 21.123631, 79.087864 21.123329, 79.087962 21.123288, 79.088105 21.123591, 79.088008 21.123631))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,21.123459799973947,79.08798449991741,Central
"POLYGON ((79.087701 21.124001, 79.088215 21.123796, 79.088158 21.123672, 79.087644 21.123877, 79.087701 21.124001))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,21.123836650204048,79.08792970014615,Central
"POLYGON ((79.087464 21.124047, 79.087339 21.123711, 79.087496 21.12366, 79.087621 21.123997, 79.087464 21.124047))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,21.123853832038616,79.08747994868075,Central
"POLYGON ((79.053985 21.141094, 79.053921 21.141034, 79.05384 21.141144, 79.054037 21.141318, 79.054559 21.140824, 79.054457 21.140699, 79.05435 21.140614, 79.053706 21.140799, 79.053758 21.140918, 79.054388 21.140744, 79.053985 21.141094))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,21.140919224994065,79.05415294140889,Central
"POLYGON ((79.082264 21.166825, 79.082363 21.166629, 79.082831 21.166802, 79.082658 21.166964, 79.082264 21.166825))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,21.166802100181688,79.08253000620348,Central
"POLYGON ((79.089713 21.124826, 79.089798 21.124802, 79.089773 21.124731, 79.089853 21.124695, 79.089871 21.124687, 79.089893 21.124722, 79.089972 21.124684, 79.089932 21.124586, 79.089875 21.124613, 79.089814 21.124506, 79.089959 21.124451, 79.089898 21.124307, 79.089816 21.124322, 79.089798 21.124285, 79.08978 21.124248, 79.089862 21.124209, 79.089811 21.124076, 79.089654 21.124124, 79.089687 21.124172, 79.08965 21.124184, 79.089664 21.12421, 79.089522 21.124267, 79.089588 21.124421, 79.089659 21.124404, 79.089732 21.124577, 79.089613 21.124634, 79.089713 21.124826))",school,"Kendriya Vidyalaya, Ajni",,,,,,,,,,,,,,,,,,school,,,,,,,,21.124439908922632,79.0897560905975,Central
"POLYGON ((79.107207 21.119308, 79.107491 21.119308, 79.107542 21.119263, 79.107523 21.118963, 79.107432 21.118968, 79.10743 21.119225, 79.107202 21.119218, 79.107207 21.119308))",school,Indira Gandhi High School,,,,,,,,,,,,,,,,,,yes,,Q1149,,,,,,21.119183821257334,79.10742120439029,Central
"POLYGON ((79.107443 21.118833, 79.10754 21.118825, 79.10754 21.11859, 79.107483 21.118562, 79.107186 21.118575, 79.10718 21.118655, 79.107438 21.118652, 79.107443 21.118833))",school,Balaji Convent,,,,,,,,,,,,,,,,,,yes,,,,,,,,21.118659036891103,79.10740861519547,Central
"POLYGON ((79.106129 21.119856, 79.106125 21.119732, 79.10625 21.119728, 79.106254 21.119852, 79.106129 21.119856))",school,Kusumtai Dhawde High Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,21.119792041743068,79.10618967445436,Central
"POLYGON ((79.107202 21.119358, 79.107581 21.119348, 79.107555 21.118541, 79.107176 21.118552, 79.107202 21.119358))",school,Indira Gandhi High School,,,,,,,,,,,,,,,,,,,,Q1149,,,,,,21.118949725432334,79.10737839609477,Central
"POLYGON ((79.107171 21.118523, 79.107562 21.118513, 79.107547 21.118138, 79.107198 21.118175, 79.107142 21.118205, 79.107171 21.118523))",school,Adarsh Vidya Mandir,,,,,,,,,,,,,,,,,,,,,,,,,,21.118337853918327,79.1073587839614,Central
"POLYGON ((79.10435 21.12049, 79.104348 21.120377, 79.104582 21.120376, 79.104579 21.120486, 79.10435 21.12049))",school,Charisma English Convent,,,,,,,,,,,,,,,,,,,,,,,,,,21.120431940998348,79.10446418191432,Central
"POLYGON ((79.105154 21.128497, 79.105415 21.128497, 79.105403 21.127899, 79.105147 21.127899, 79.105154 21.128497))",school,Rashtriya Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,21.12819895553128,79.10527951590194,Central
"POLYGON ((79.111794 21.122778, 79.111775 21.122544, 79.111853 21.122538, 79.112192 21.122513, 79.112204 21.122656, 79.112212 21.122747, 79.111828 21.122776, 79.111794 21.122778))",school,Bhausaheb Survey High School,,,,,,,,,,,,,,,,,,,,,,,,,,21.12264563465975,79.11199337806094,Central
"POLYGON ((79.102431 21.104664, 79.102397 21.104572, 79.102582 21.104477, 79.102576 21.104448, 79.10279 21.104343, 79.102806 21.1046, 79.102727 21.104597, 79.102736 21.104671, 79.102431 21.104664))",school,Shree Convent High School and Junior College,,,,,,,,,,,,,,,,,,,,,,,,,,21.10454275477216,79.10263410991043,South
"POLYGON ((79.103013 21.108922, 79.103424 21.108865, 79.103355 21.108289, 79.102908 21.108339, 79.103013 21.108922))",school,Shahu's Garden High School and Junior College,,,,,,,,,,,,,,,,,,,,,,,,,,21.108599813914875,79.10317375339825,South
"POLYGON ((79.102936 21.108295, 79.10328 21.108251, 79.103229 21.107963, 79.102866 21.108014, 79.102936 21.108295))",school,Siddheshwar Uchch Madhyamik Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,21.1081296092415,79.10307785805524,South
"POLYGON ((79.132668 21.132098, 79.1339 21.13199, 79.135123 21.131843, 79.134989 21.130997, 79.132679 21.131342, 79.132491 21.131488, 79.132668 21.132098))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,21.131578066522525,79.13384731713303,East
"POLYGON ((79.134508 21.140171, 79.134575 21.140364, 79.136935 21.139946, 79.136914 21.139671, 79.136742 21.139676, 79.136396 21.139511, 79.1359 21.139446, 79.135506 21.139578, 79.134765 21.139979, 79.134508 21.140171))",school,St. Xavier's High School,Nagpur,,440024.0,,Nagpur,Great Nag Road,,,,,,,,,,,,,,,Dr. A.F. Pinto and Grace Pinto,,,,,21.13989018575611,79.13574957394495,East
"POLYGON ((79.117212 21.135886, 79.117843 21.135884, 79.117842 21.135059, 79.117829 21.134963, 79.117094 21.134968, 79.117212 21.135886))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13541239952299,79.11749681563738,Central
"POLYGON ((79.113375 21.099486, 79.113706 21.099479, 79.113703 21.099319, 79.113736 21.099321, 79.113741 21.099304, 79.113756 21.099166, 79.113424 21.099173, 79.113375 21.099202, 79.113375 21.099486))",school,,,,,,,,,,,,,,,,,,school,,,,,,,,,21.099322253459796,79.11355216750924,South
"POLYGON ((79.010484 21.097557, 79.010469 21.097593, 79.009876 21.097451, 79.01013 21.096638, 79.010627 21.096743, 79.010623 21.096784, 79.010688 21.096804, 79.010644 21.096943, 79.010753 21.096976, 79.010757 21.097045, 79.01059 21.097593, 79.010484 21.097557))",school,school ground -Kendriya vidyalaya crpf nagpur,Nagpur City,,440019.0,,Nagpur,,0-12,,,,,,,,,,,,,,,kendriya Vidyalaya,,,,21.09713590668571,79.01033606131617,West
"POLYGON ((79.09671 21.15813, 79.096854 21.158737, 79.09739 21.158603, 79.097308 21.158059, 79.097059 21.158086, 79.09671 21.15813))",school,,Nagpur,,,,,,,,,,,,,,,,,,,,,,,,,21.15837849667288,79.09705872378042,Central
"POLYGON ((79.034834 21.176714, 79.034834 21.176544, 79.035196 21.176525, 79.03521 21.176712, 79.034834 21.176714))",school,Pandit Nehru High School,Nagpur,,440013.0,,,Katol Road,,,,,There is 2nd name for this:- Mount Everest High School,,,,,,,,,Q1047,,,Panchmurti Shikshan Sanstha,community,"semi english,hindi,marathi",21.17662433461972,79.03502155422298,West
"POLYGON ((79.035728 21.177727, 79.035796 21.178138, 79.03598 21.17811, 79.035969 21.17805, 79.036066 21.178028, 79.035728 21.177727))",school,Makardhokda School,Nagpur,,440013.0,,,Katol Road,1-10,,,,,,,,,,,,,,,,Nagpur Municipal Corporation,,,21.17797264692996,79.03586509183259,West
"POLYGON ((79.102129 21.142473, 79.101454 21.14245, 79.101471 21.141806, 79.102248 21.141819, 79.102129 21.142473))",school,,,,,,,,,,,,,educational_institution,,,,,,,,,,,,,,21.142129629964217,79.10182741124225,Central
"POLYGON ((79.066395 21.165642, 79.066736 21.16564, 79.066735 21.165555, 79.066984 21.165554, 79.066984 21.165476, 79.066737 21.165477, 79.066736 21.165413, 79.066394 21.165415, 79.066395 21.165642))",school,S F S School of Excellency,,,,,,Seminary Hills Road,,,,,,,,,,,,,,,,,,,,21.16552499661633,79.06662406715273,Central
"POLYGON ((79.066731 21.100116, 79.066803 21.100095, 79.066785 21.099964, 79.06698 21.099913, 79.066962 21.099803, 79.066672 21.099858, 79.066731 21.100116))",school,somalwada marathi primary school,,,,,,,,,,,,,,,,,,,,,,,,,,21.09992523479085,79.06680841055578,South
