geometry,building,name,name:en,addr:city,addr:housenumber,addr:postcode,addr:street,phone,website,building:levels,building:use,addr:country,office,addr:housename,alt_name,designation,int_name,old_name,source,wikidata,height,layer,residential,addr:district,wheelchair,amenity,toilets:wheelchair,created_by,landuse,description,note,operator,operator:wikidata,operator:wikipedia,power,ref,start_date,substation,voltage,name:mr,shop,brand,brand:wikidata,brand:wikipedia,tourism,fax,smoking,religion,leisure,name:etymology:wikidata,addr:place,ele,denomination,aeroway,man_made,addr:unit,addr:full,addr:state,name:ur,content,building:material,addr:subdistrict,architect,emergency,healthcare,level,government,opening_hours,sport,guest_house,internet_access,internet_access:fee,healthcare:speciality,not:operator:wikidata,atm,branch,drive_through,short_name,historic,historic:civilization,building:levels:underground,parking,floor,contact:phone,indoor_seating,outdoor_seating,self_service,industrial,amenity_1,nohousenumber,fast_food,alt_name:en,cuisine,diet:local,diet:non-vegetarian,diet:vegetarian,name:hi,roof:material,email,area,wikimedia_commons,ref:colour,building:colour,house,brand:short,operator:short,craft,telecom,brewery,min_age,type,rooms,Latitude,Longitude,Region
POINT (79.096911 21.131275),school,Pandit Bachhraj Vyas Vidyalaya,,Nagpur,,440003,"Ajni Rd, Beside Vivekanand School, Medical Square, Rambagh",0712 274 0767 ext. 2705453,bachharajvidyalaya.in,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.131275300000002,79.09691090000001,Central
POINT (79.089919 21.12671),school,Kendriya Vidyalaya Ajni (Old Building),,Nagpur,,440003,"Ajni Rd, Ajni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.126709699999996,79.0899193,Central
POINT (79.120264 21.15872),school,Jamali English School,,Nagpur,,440002,"Near To Shanti Nagar Main Rd, Shantinagar Colony",0712 277 6970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.158720199999998,79.1202644,Central
POINT (79.082547 21.166837),school,Tidke Vidyalaya,,Nagpur,,440001,Koradi Colony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1668372,79.0825468,Central
POINT (79.087515 21.123561),school,St. Anthony's High School,,Nagpur,,440010,"Ajni Rd, Ajni Square, Ajni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1235614,79.0875152,Central
POINT (79.090701 21.12074),college,Rao Saheb Junior College,,Nagpur,,440027,"Ridge Rd, Ajni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1207396,79.0907009,Central
POINT (79.053962 21.111906),apartments,Sudha Jyoti Apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.111906199999996,79.0539622,South
POINT (79.047222 21.106468),apartments,Savita Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1064684,79.0472218,South
POINT (79.115459 21.127221),college,Vidarbha Buniyadi Junior College,,Nagpur,,440009,"Om Nagar , Sakkardara Maharastra Major State Highway 9, Azamshah Layout",0712 274 5865,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1272211,79.1154594,Central
POINT (79.11497 21.127631),college,Vidarbha Buniyadi High School & Junier College,,Nagpur,,440009,"Chandrapur - Mul - Nagbhir - Nagpur Hwy, Near Garden, Sakkardara, Om Nagar, Raghuji Nagar",094236 03736,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.127630599999996,79.11497,Central
POINT (79.114848 21.127496),college,Sevadal Mahila Mahavidyalaya,,Nagpur,,440009,"Umrer Rd, Sakkardara Chowk, Om Nagar, Azamshah Layout",0712 270 5037,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.127496300000004,79.11484770000001,Central
POINT (79.115413 21.124375),school,Nav Pradiba High School & Kanisht Maha Vidhyalay,,Nagpur,,440009,"Chandrapur - Mul - Nagbhir - Nagpur Hwy, Sakardara,Ayurvedic Nagar,Jeevanvikas Education Society,Siraspeth, Raghuji Nagar",0712 274 0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1243747,79.1154126,Central
POINT (79.121505 21.123877),college,Abhinandan College,,Nagpur,,440009,"Bapu Nagar, Nandanvan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.123877300000004,79.1215052,East
POINT (79.100166 21.147928),school,J.N.Tata Parsi Girls High School,,Nagpur,,440018,"Ram Mandir Lane, Gandhi Sagar Rd, Empress City",0712 272 6018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.147928100000005,79.1001662,Central
POINT (79.0638 21.110304),apartments,Pramila Apartments,,Nagpur,,,Khamla Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1103038,79.0638002,South
POINT (79.148694 21.145731),school,Lalita Public School,,Nagpur,,440035,Pardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.145730899999997,79.1486936,East
POINT (79.060084 21.119397),industrial,RPTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.119396799999997,79.060084,West
POINT (79.066918 21.145867),school,hislop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1458671,79.066918,Central
POINT (79.095942 21.130879),school,Pandit Bachhraj Vyas Vidyalaya,,Nagpur,,440003,"Ajni Rd Beside Vivekanand School, Medical Square, Rambagh",0712 274 0767,bachharajvidyalaya.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1308794,79.0959415,Central
POINT (79.062054 21.150294),yes,The Heritage Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.150294,79.0620538,Central
POINT (79.105248 21.1294),yes,Ishwar Deshmukh Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.129400099999994,79.1052477,Central
POINT (79.089914 21.126262),yes,"Railway Reservation Centre, Ajni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.126261599999996,79.0899138,Central
POINT (79.104656 21.12308),yes,Maharashtra State Electricity Board Tukdoji Chowk,,,,,,,,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1230804,79.1046558,Central
POINT (79.10704 21.123623),yes,Employees Provident Fund Organization Nagpur,,,,,,,,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1236234,79.1070402,Central
POINT (79.104225 21.113252),commercial,Vaibhav Flour Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1132523,79.1042249,Central
POINT (79.081609 21.146095),residential,Paliwal Seva Mandal,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1460949,79.0816088,Central
POINT (79.044121 21.115064),house,Yashodeep-4,,Nagpur,Yashodeep-4,440022,Bandu Soni Layout,,,,,,,Yashodeep-4,Yashodeep-4,Yashodeep-4,Yashodeep-4,Yashodeep-4,Yashodeep-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.115064200000003,79.0441206,West
POINT (79.088704 21.107256),school,Sunrise school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.107256,79.0887045,South
POINT (79.088159 21.169616),yes,Pal Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.169616399999995,79.088159,Central
POINT (79.07227 21.159737),office,Nagpur Maha Metro Bhavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.159736599999995,79.0722701,Central
POINT (79.073833 21.167849),yes,Raj Bhavan,,,,,,,,,,,,,,,,,,Q7285271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.167849299999997,79.0738334,Central
POINT (79.051856 21.164933),college,Indian Institute of Information Technology,,,,,,,,,,,,,,,,,,Q28129118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.164932899999997,79.0518565,West
POINT (79.010977 21.097411),school,Kendriya Vidyalaya CRPF Nagpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0974108,79.0109768,West
POINT (79.132171 21.106849),yes,Govind Niwas,,Nagpur,29,440034,Navnath ITI Road,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10684910000001,79.13217090000002,East
POINT (79.103413 21.150666),commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.150665699999998,79.1034132,Central
POINT (79.098806 21.153165),residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.153164799999995,79.0988057,Central
POINT (79.09975 21.154298),residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.154297799999995,79.0997503,Central
POINT (79.117588 21.123512),commercial,Sawata Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.123511799999996,79.117588,Central
POINT (79.127822 21.183501),residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.183500899999995,79.1278221,North
POINT (79.127775 21.183573),residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.183572700000003,79.12777540000002,North
"POLYGON ((79.078086 21.154348, 79.078031 21.153834, 79.077655 21.153869, 79.077709 21.154383, 79.078086 21.154348), (79.077747 21.154021, 79.077872 21.154011, 79.077896 21.154261, 79.077771 21.154272, 79.077747 21.154021))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,21.154102195384255,79.07787965372525,Central
"POLYGON ((79.074701 21.158287, 79.075372 21.158038, 79.075013 21.157194, 79.074342 21.157443, 79.074663 21.158197, 79.074701 21.158287), (79.074568 21.157513, 79.074932 21.157385, 79.075174 21.157981, 79.074809 21.15811, 79.074568 21.157513))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,21.15773683142729,79.0748490189658,Central
"POLYGON ((79.067792 21.126491, 79.067856 21.126426, 79.067953 21.126421, 79.068082 21.126516, 79.068379 21.126191, 79.068328 21.126156, 79.068398 21.126046, 79.068339 21.126003, 79.068409 21.125918, 79.068344 21.12587, 79.06828 21.125933, 79.068202 21.125883, 79.068269 21.125803, 79.068202 21.125755, 79.068146 21.12582, 79.068055 21.12575, 79.067988 21.125826, 79.067907 21.125773, 79.067846 21.125843, 79.06791 21.125893, 79.067811 21.126028, 79.067878 21.126073, 79.06788 21.126126, 79.067808 21.126128, 79.067736 21.126213, 79.067693 21.126193, 79.067588 21.126346, 79.067792 21.126491), (79.06795 21.126048, 79.06805 21.125936, 79.068116 21.125936, 79.068234 21.126026, 79.068234 21.126081, 79.068116 21.126203, 79.068066 21.126203, 79.067948 21.126111, 79.06795 21.126048))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,21.126160050454086,79.06802449077334,Central
"POLYGON ((79.120819 21.121413, 79.120504 21.120976, 79.120297 21.121107, 79.12043 21.121291, 79.1205 21.121246, 79.120549 21.121314, 79.120494 21.121349, 79.120628 21.121533, 79.120819 21.121413), (79.120451 21.121188, 79.120396 21.12112, 79.120474 21.121065, 79.12053 21.121133, 79.120451 21.121188), (79.120633 21.121434, 79.120586 21.121363, 79.120679 21.12131, 79.120726 21.121381, 79.120633 21.121434))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,21.121250140521425,79.12056176167364,East
